,age,job,marital,education,default,balance,housing,loan,contact,day,duration,campaign,pdays,previous,poutcome,y
399,56,blue-collar,divorced,secondary,no,2780,yes,no,telephone,6,81,3,-1,0,unknown,no
3341,55,retired,divorced,secondary,no,-268,no,yes,cellular,24,1417,1,-1,0,unknown,yes
2810,25,management,single,tertiary,no,808,no,no,cellular,27,268,2,-1,0,unknown,no
100,32,blue-collar,single,secondary,no,322,yes,no,cellular,13,233,3,-1,0,unknown,no
854,45,unemployed,divorced,secondary,no,728,yes,yes,cellular,6,156,2,169,1,failure,no
2650,45,management,married,tertiary,no,1866,no,no,unknown,11,116,7,-1,0,unknown,no
3951,45,unknown,married,unknown,no,19706,yes,no,cellular,3,419,3,-1,0,unknown,no
192,32,technician,married,secondary,no,-1,no,no,cellular,14,153,6,-1,0,unknown,no
2152,53,technician,married,tertiary,no,9001,no,no,cellular,5,170,1,-1,0,unknown,yes
3259,34,management,married,tertiary,no,5334,no,no,cellular,7,385,4,-1,0,unknown,no
1056,39,technician,married,secondary,no,4741,yes,no,cellular,13,166,1,338,10,failure,no
1157,39,technician,married,secondary,no,-184,no,yes,unknown,17,185,3,-1,0,unknown,no
3031,40,blue-collar,married,secondary,no,2932,yes,no,unknown,9,22,17,-1,0,unknown,no
1406,42,management,divorced,tertiary,no,1775,yes,no,telephone,5,276,5,-1,0,unknown,no
3098,49,management,married,tertiary,no,322,no,no,cellular,6,72,4,-1,0,unknown,no
260,40,blue-collar,divorced,secondary,no,125,yes,no,unknown,19,349,2,-1,0,unknown,no
1291,54,management,divorced,tertiary,no,5475,no,no,cellular,21,1032,1,91,4,success,yes
1884,27,blue-collar,married,secondary,no,1600,yes,no,cellular,4,603,2,259,1,failure,no
1261,33,management,married,primary,no,262,yes,no,cellular,14,386,3,-1,0,unknown,no
3161,38,admin.,married,secondary,no,0,yes,no,cellular,8,175,2,-1,0,unknown,no
718,30,blue-collar,married,primary,no,5956,yes,yes,cellular,20,405,1,139,1,failure,no
1790,53,technician,married,tertiary,no,476,yes,no,cellular,28,160,1,-1,0,unknown,no
3602,41,management,married,tertiary,no,13874,no,no,cellular,5,255,1,234,2,other,no
3853,60,services,divorced,secondary,no,1608,yes,no,cellular,11,186,1,-1,0,unknown,no
393,41,housemaid,divorced,tertiary,no,9767,yes,no,unknown,29,162,2,-1,0,unknown,no
3487,53,management,married,tertiary,no,1624,no,no,cellular,6,107,1,98,6,success,yes
1691,34,management,married,tertiary,no,158,no,no,cellular,9,278,2,132,4,failure,yes
1821,36,admin.,divorced,secondary,no,1224,yes,no,cellular,12,482,1,374,1,success,yes
3368,41,technician,married,secondary,no,359,yes,no,cellular,17,210,1,-1,0,unknown,no
714,57,retired,married,primary,no,4908,no,no,cellular,30,868,1,-1,0,unknown,no
314,35,management,single,tertiary,no,1045,yes,no,cellular,17,204,5,-1,0,unknown,no
1649,24,self-employed,single,tertiary,no,931,yes,no,unknown,28,200,4,-1,0,unknown,no
968,38,management,married,tertiary,no,516,yes,no,telephone,16,198,3,-1,0,unknown,no
3333,34,services,married,secondary,no,-62,yes,no,unknown,16,109,3,-1,0,unknown,no
2849,41,admin.,single,tertiary,no,1455,yes,no,unknown,30,87,1,-1,0,unknown,no
1555,47,blue-collar,married,primary,no,320,no,no,telephone,30,203,2,-1,0,unknown,no
3354,37,management,married,tertiary,no,1265,no,yes,unknown,4,101,1,-1,0,unknown,no
527,44,housemaid,married,primary,no,41,no,no,cellular,22,299,1,-1,0,unknown,no
2660,25,services,single,secondary,no,5,no,yes,cellular,30,84,6,-1,0,unknown,no
662,60,admin.,married,secondary,no,106,no,no,cellular,24,137,1,187,4,success,yes
1219,54,technician,married,tertiary,no,417,yes,no,unknown,16,375,2,-1,0,unknown,no
403,41,blue-collar,married,secondary,no,598,yes,no,cellular,12,69,3,364,11,failure,no
2488,46,entrepreneur,married,secondary,no,757,no,no,unknown,16,382,3,-1,0,unknown,no
3569,31,blue-collar,single,secondary,no,726,no,no,cellular,7,719,2,-1,0,unknown,yes
617,53,blue-collar,married,secondary,no,0,no,yes,telephone,15,152,4,-1,0,unknown,no
1704,44,admin.,married,secondary,no,132,no,no,cellular,21,103,5,124,4,success,no
2457,28,admin.,married,secondary,no,147,yes,yes,cellular,26,82,1,-1,0,unknown,no
3716,53,technician,married,unknown,no,619,no,no,unknown,17,198,6,-1,0,unknown,no
1785,40,technician,single,secondary,no,134,yes,yes,cellular,28,126,2,-1,0,unknown,no
3378,30,unemployed,married,tertiary,no,4696,yes,no,cellular,25,172,1,-1,0,unknown,no
436,43,entrepreneur,single,primary,no,2124,yes,no,cellular,19,104,1,-1,0,unknown,no
838,27,technician,single,secondary,no,-437,no,no,cellular,4,352,1,216,2,other,no
1337,31,management,single,tertiary,no,816,yes,no,cellular,16,339,1,-1,0,unknown,no
3711,27,student,single,tertiary,no,118,no,no,cellular,31,160,3,98,1,failure,yes
1727,31,management,married,secondary,no,2294,no,no,cellular,20,483,2,-1,0,unknown,no
1804,60,services,married,secondary,no,4428,no,no,cellular,9,125,1,96,6,failure,no
2034,39,management,single,tertiary,no,-85,yes,no,unknown,8,423,2,-1,0,unknown,no
3602,55,housemaid,married,primary,no,16,no,no,unknown,20,64,1,-1,0,unknown,no
2564,44,blue-collar,married,secondary,no,138,yes,no,unknown,8,283,3,-1,0,unknown,no
3746,31,technician,single,secondary,no,44,no,no,cellular,2,200,5,175,2,failure,no
3534,39,blue-collar,married,unknown,no,2952,yes,no,unknown,12,307,2,-1,0,unknown,no
2549,30,blue-collar,single,secondary,no,155,yes,yes,cellular,9,1426,3,-1,0,unknown,yes
1179,41,technician,married,secondary,no,169,yes,no,unknown,7,296,2,-1,0,unknown,no
899,54,management,married,tertiary,no,1464,no,no,cellular,30,157,1,-1,0,unknown,yes
3671,36,management,married,tertiary,no,1988,yes,yes,cellular,25,102,2,-1,0,unknown,no
3487,30,technician,married,secondary,no,-189,no,no,cellular,19,105,2,-1,0,unknown,no
898,34,housemaid,married,tertiary,no,0,no,no,cellular,18,148,1,84,2,failure,yes
1122,31,management,married,tertiary,no,7,yes,no,unknown,23,191,1,-1,0,unknown,no
3857,39,technician,single,secondary,no,12,yes,no,cellular,15,500,2,352,2,failure,no
1695,45,admin.,single,unknown,no,13,yes,no,unknown,5,98,1,-1,0,unknown,no
2323,38,blue-collar,married,primary,no,1262,no,no,unknown,17,49,2,-1,0,unknown,no
893,36,management,married,tertiary,no,1352,no,no,unknown,19,2028,1,-1,0,unknown,yes
2220,53,retired,divorced,primary,no,2997,no,no,unknown,9,162,1,-1,0,unknown,no
2234,32,blue-collar,married,secondary,yes,-238,yes,no,unknown,27,427,1,-1,0,unknown,no
27,57,retired,single,tertiary,no,842,no,no,cellular,13,284,3,-1,0,unknown,yes
3162,51,blue-collar,divorced,secondary,no,734,yes,yes,cellular,5,17,1,-1,0,unknown,no
3589,52,technician,married,tertiary,no,2506,no,no,cellular,16,377,1,228,3,failure,no
3495,53,admin.,married,secondary,no,263,no,yes,cellular,18,143,7,-1,0,unknown,no
760,36,unemployed,married,primary,no,771,yes,no,cellular,8,152,1,-1,0,unknown,no
3941,41,blue-collar,married,secondary,no,-68,yes,no,unknown,14,429,2,-1,0,unknown,no
2795,45,entrepreneur,divorced,primary,no,888,yes,no,telephone,28,63,6,-1,0,unknown,no
80,34,technician,divorced,secondary,no,-324,no,no,cellular,14,166,4,-1,0,unknown,no
1375,35,self-employed,married,tertiary,no,1340,no,yes,cellular,19,169,1,-1,0,unknown,no
2083,39,blue-collar,married,secondary,no,1044,yes,no,cellular,2,158,1,-1,0,unknown,no
2311,37,services,single,secondary,no,105,no,yes,unknown,17,260,4,-1,0,unknown,no
2065,48,blue-collar,married,secondary,no,480,yes,no,cellular,15,830,1,352,2,failure,yes
1162,45,services,single,secondary,no,-688,no,yes,cellular,8,106,1,-1,0,unknown,no
979,43,housemaid,married,primary,no,1342,yes,yes,unknown,9,46,2,-1,0,unknown,no
2186,24,student,single,unknown,no,782,no,no,cellular,4,12,7,91,1,other,no
1807,40,admin.,married,secondary,no,2574,yes,no,cellular,20,517,1,-1,0,unknown,no
3832,60,housemaid,divorced,primary,no,1412,no,no,cellular,22,127,4,-1,0,unknown,no
3726,41,blue-collar,married,primary,no,2585,no,no,telephone,20,159,2,-1,0,unknown,no
2439,29,admin.,divorced,secondary,no,1320,yes,yes,unknown,8,489,1,-1,0,unknown,no
2513,38,admin.,married,secondary,no,976,yes,yes,unknown,19,382,2,-1,0,unknown,no
1456,55,management,married,secondary,no,964,no,no,cellular,3,66,3,-1,0,unknown,no
3509,52,services,married,secondary,no,145,no,no,cellular,22,205,4,-1,0,unknown,no
788,42,self-employed,married,secondary,no,5564,no,no,cellular,17,560,2,-1,0,unknown,no
931,31,entrepreneur,single,tertiary,no,247,yes,yes,unknown,2,273,1,-1,0,unknown,no
3117,31,student,single,tertiary,no,64,no,no,cellular,2,261,2,-1,0,unknown,yes
1461,36,blue-collar,married,secondary,yes,0,no,yes,unknown,17,138,5,-1,0,unknown,no
344,26,technician,single,tertiary,no,8839,yes,no,unknown,29,932,3,-1,0,unknown,no
2270,30,management,single,tertiary,no,6493,no,no,cellular,11,132,5,-1,0,unknown,no
1513,42,blue-collar,married,secondary,no,490,yes,no,unknown,5,386,2,-1,0,unknown,no
3172,61,retired,married,secondary,no,86,no,no,cellular,23,149,1,-1,0,unknown,yes
105,33,blue-collar,married,primary,no,170,yes,yes,telephone,14,113,3,367,4,other,no
682,35,technician,single,secondary,no,0,no,no,cellular,26,259,2,-1,0,unknown,no
92,25,management,married,tertiary,no,103,no,no,cellular,10,52,9,-1,0,unknown,no
1366,30,technician,married,tertiary,no,564,yes,no,cellular,11,166,2,-1,0,unknown,no
2098,49,technician,married,secondary,no,412,no,no,cellular,19,1293,8,-1,0,unknown,yes
530,36,admin.,single,secondary,no,886,yes,yes,cellular,14,362,6,-1,0,unknown,no
1248,30,services,married,secondary,no,78,yes,no,cellular,6,198,1,-1,0,unknown,no
3895,30,admin.,married,secondary,no,2074,no,no,cellular,19,98,1,-1,0,unknown,no
2800,36,blue-collar,married,secondary,no,6699,yes,no,cellular,20,201,3,-1,0,unknown,no
2587,34,management,married,tertiary,no,1388,yes,no,cellular,1,222,1,93,4,failure,no
3010,47,technician,single,tertiary,no,31,no,yes,cellular,24,63,4,-1,0,unknown,no
2465,64,retired,married,unknown,no,679,no,no,telephone,16,167,1,-1,0,unknown,yes
2651,49,blue-collar,married,secondary,no,24,no,yes,cellular,27,168,3,-1,0,unknown,no
3829,54,housemaid,divorced,primary,no,1194,no,no,unknown,18,58,3,-1,0,unknown,no
968,49,unknown,married,secondary,no,0,no,no,cellular,28,173,2,-1,0,unknown,no
